Designator,Footprint,Quantity,Value,LCSC Part #
-9V,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,-9V,
9V,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,9V,
"C1, C5",0402,2,100n,C307331
"C101, C102, C103, C107, C112, C113, C114",0603,7,4u7,C19666
C104,0402,1,10n,C15195
"C105, C106, C108, C109",0603,4,100n,C14663
C115,0402,1,0.2p,C267404
"C2, C8, C9",0805,3,22u,C45783
"C3, C4",0402,2,1n,C1523
"D1, D2, D4, D5",0603,4,LED,C72043
D102,TO-18-3,1,S597x,
D3,D_SOD-323F,1,D,C191023
GND,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,GND,
J1,MMCX_Molex_73415-1471_Vertical,1,Monitor,C530664
J101,MMCX_Molex_73415-1471_Vertical,1,Conn_Coaxial,C530664
J4,PinHeader_1x04_P2.54mm_Vertical,1,~,
"L1, L2, L3",0805,3,10u,C281113
L101,0805,1,100u,C68035
PS1,Converter_DCDC_XP_POWER-ITQxxxxS-H_THT,1,WRA1209CS-3W,C512079
R1,0402,1,10R,C25077
"R10, R8",0402,2,2.2k,C25117
"R101, R107",0603,2,51k,C25794
R102,0603,1,300R,C25102
R106,0402,1,49.9R,C25120
"R2, R3",0402,2,16k,C3015838
R4,0402,1,100,C25076
R5,0603,1,49.9R,C23185
"R6, R7",0402,2,470,C25117
R9,0603,1,2.2k,C4190
RF1,0402,1,0R,C17168
RF101,0402,1,5.1k,C351692
"TP101, TP102",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,TestPoint,
U1,MSOP-8_3x3mm_P0.65mm,1,AD8656,C208582
U101,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3042xMSE,C461518
U102,MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm,1,LT3093xMSE,C670481
U103,WSON-8-1EP_3x3mm_P0.5mm_EP1.45x2.4mm,1,OPA818IDRGx,C2859543
U104,SOT-23-5,1,BUF602xDBV,C2862949
